customer_name,org_id,provisioned_date,deprovisioned_date
Hometown Foods,a2ddb,2026-05-04,
Patelco,f2564,2026-05-04,
IBM,5412e,2026-04-29,
West Madison,85f33,2026-04-21,
Safe-Guard Products International,48dbd,2026-04-14,
Deloitte,d7bf0,2026-04-13,
ATT,a46ff,2026-03-27,2026-05-17
Abacus Insights,ac934,2026-03-19,2026-05-17
Retail Insights,d20f7,2026-03-05,
OneDigital,14691,2026-02-27,
Motorq,6d5bb,2026-01-16,
YoungLife,7f088,2026-01-05,
Cambia Health,75674,2025-12-30,
Rohlik Group,9df08,2025-12-29,2026-03-25
CARS24,261f3,2025-12-03,2026-02-20
Kinesso,59f87,2025-11-26,
Stella And Chewys,eace6,2025-11-17,2026-01-08
Acxiom,45ae9,2025-11-12,
Bgaming,52809,2025-11-07,
Squire,547d7,2025-11-05,
ProService Hawaii,a4bb6,2025-09-29,2025-12-01
WebPT,a86de,2025-09-16,
RxSense,069cb,2025-09-08,2025-12-17
PPLSI,65ea2,2025-09-08,2025-10-30
Roofstock,d92f8,2025-09-04,
BDSA,c8ac9,2025-08-26,2025-10-03
Toyota Material Handling,d7eb7,2025-08-11,
Pure Storage,c41ba,2025-08-04,2026-03-24
PDI Technologies,b5a69,2025-07-22,
Lojas Torra,278f0,2025-07-18,2025-12-01
Openphone,55dca,2025-07-08,2025-08-08
Patelco,2e72b,2025-06-30,2025-12-18
Constant Contact,45a1d,2025-06-27,2025-12-31
Veterans United,376a1,2025-06-12,2025-10-03
Vermont Information Processing,a44e8,2025-05-23,
Flipside Crypto,a9eca,2025-05-23,
Jabil,2de6a,2025-05-16,
Soriana,c6fcf,2025-05-12,2025-10-30
Tractor Supply,46576,2025-05-09,
ExodusPoint,cf4f1,2025-05-09,
Trellance,bd8f5,2025-04-24,
Cypress.io,7f355,2025-04-21,2025-05-29
OncoLens,b8b59,2025-04-07,2025-05-29
VideoAmp,e2dce,2025-04-04,
Milk Moovement,165ad,2025-04-02,
Strategus,14217,2025-03-18,
GOAT,2a48e,2025-03-13,
Simpplr,941fe,2025-03-04,
Greenlight,860fc,2025-02-25,2025-06-13
Baxter International Inc.,57f79,2025-02-20,
Betr,10303,2025-02-13,
AllianceBernstein,a6b88,2025-02-12,
Patelco,d80dd,2025-01-27,2025-06-20
LaunchDarkly,2d4c0,2025-01-22,2025-04-17
TracerAi,62745,2025-01-02,2025-04-01
Paddle,c1740,2024-12-10,
Rocket Lawyer,90ee1,2024-12-10,
Lockwood Publishing,2fe24,2024-12-06,
Samsung Ads,dbcfa,2024-12-03,2025-05-08
Acxiom,db960,2024-11-19,2025-02-20
Coalesce,65bdf,2024-11-12,2025-01-06
Blue Cross Blue Shield,699c4,2024-10-23,2025-01-28
Checkr,7225b,2024-10-19,
AuditBoard,3b250,2024-10-07,2025-02-11
Dataminr,3c9fd,2024-09-30,
PatientPoint,20fa7,2024-09-30,2025-01-29
Worthington Enterprises,bdb9c,2024-09-04,
SOK,996fb,2024-08-26,
RightRev,e8b6a,2024-08-20,
Atmos Energy,17e09,2024-08-23,2024-11-20
Virgin Pulse,68a0f,2024-08-01,2025-02-11
Samsung,f762d,2024-08-01,2025-01-03
FBG,72e4f,2024-07-29,2024-10-11
Factset,a2b14,2024-07-29,2024-10-31
Sunrun,c09f2,2024-07-25,
TCBrands,2f9c2,2024-07-23,2025-02-05
Avid Technology,0878c,2024-07-19,2026-03-02
Greenhouse,a6b5b,2024-07-19,
Fetch Rewards,12230,2024-07-15,2024-10-10
FCP Euro,dc4db,2024-07-08,
Cross Screen Media,eba1b,2024-07-05,
Lightcast,8a810,2024-07-05,
Cimpress,7914c,2024-07-02,
Komodo Health Multi-account,baa91,2024-06-27,
First Resonance,0dd43,2024-06-27,2025-12-02
KDRP,e1475,2024-06-26,2024-10-29
Project44,3a5e9,2024-06-25,
Facteus,ef3bd,2024-06-24,2024-10-31
Patelco Credit Union,3a4ef,2024-06-24,
Engage3,e11c1,2024-06-14,2026-01-30
Raptive,2e4dc,2024-06-14,
CCI (Castleton Commodities International),9cc01,2024-06-13,
CHG Healthcare,2a5d5,2024-06-13,
Discovery Education,db4f6,2024-06-18,
Acquia,9526b,2024-06-18,
ZoomInfo,8edc2,2024-05-31,
Urban Company,1b1b5,2024-05-27,
Freshworks Multi-account,072ca,2024-05-23,2026-01-28
Yieldmo,3970f,2024-05-08,
OB Media,a1ace,2024-04-29,
Symbotic,6cedb,2024-04-29,
Logitech,d628e,2024-04-24,
Covariance,6fb46,2024-04-16,
Estee Lauder,55bb4,2024-04-16,
Vio,3a5f5,2024-04-16,
Savers Village,90f2d,2024-04-15,
Savers,9c22c,2024-04-15,
Digital AI,242e9,2024-04-12,
Rappi,796b5,2024-04-06,
Tricon,7e883,2024-03-27,
Goat,9e3fb,2024-03-26,
ICE/NYSE,86927,2024-03-25,2025-11-03
MOD Pizza,baaca,2024-03-11,2024-04-03
Strategus,c0186,2024-02-27,
Cameo,3fb60,2024-02-27,
RightRev,c489e,2024-02-20,
Purple,33b45,2024-02-12,2024-03-04
WBMI,13342,2024-02-12,
Scale AI,db7bf,2024-01-31,2026-02-20
Blue Health Intelligence,5d65a,2024-01-19,
ThoughtSpot (AWS),2455b,2024-01-10,2024-02-20
ZoomInfo,2c85c,2024-01-09,
EMCins,ecba5,2024-01-09,2024-02-10
CrowdStrike,9255a,2024-01-08,2024-03-07
ThoughtSpot,f063c,2024-01-02,2024-02-20
At-Bay,d4872,2024-01-02,2024-01-19
Avid Technology,eb8f7,2023-12-12,
Datadog,0e025,2023-12-06,
Knowde,ab128,2023-12-05,2023-12-05
Scale AI,da6da,2023-11-22,2023-11-22
Staples,317d6,2023-11-22,2023-11-22
GPS Insight,c9aba,2023-11-08,
Ziff Media,0e4da,2023-11-01,2025-02-19
Bidgely,26495,2023-10-19,2024-01-12
Migo,5e20d,2023-10-16,2023-11-14
Jabil,c38c9,2023-10-16,2024-01-18
Sightline Payments,07a14,2023-10-13,
(unknown),9d91b,2023-10-17,2023-10-17
(unknown),ef49c,,2023-10-30
(unknown),83ab6,,2023-10-26
(unknown),586d0,,2023-11-08
Afresh,c4d1d,,2025-06-20
Atheon,1ae0f,,2025-01-21
Dr. Squatch,b4e52,,2024-11-14
Ignition Group,1e2b8,,2024-11-08
Velocity Global,e7bab,,2025-03-13
Presia,ce231,,2025-11-17
AstraZeneca,7198d,,2026-05-17
Central California Alliance for Health,5b0f6,,2026-05-17
Oasis Health,8b595,,2025-12-17
Transfix,eb051,,2024-03-19
Greenlight,4317f,,2024-03-14
Smartsheet,59d15,,2024-03-09
Skupos,35e90,,2024-01-19
Pyxis,495fe,,2026-01-23
Revelio Labs,eadda,,2026-01-30
Komodo Health,3571d,,2026-01-02
HMH Education Company,77484,,2026-02-11
